N;Funding Year;Línea de Investigación;Research Lines;Año;Autores;Título;Revista;Ficha de Publicación;DOI;ISSN;Abstract;Acceso;Páginas;Volumen;Index
54.0;2014;"Dinámica del Clima; Modelación y Sistemas de Observación; Servicios Ecosistémicos";CD, MOS, ECO;2014;Moreno, P. I., Vilanova, I., Villa-Martínez, R., Garreaud, R., Rojas, M., & de Pol-Holz, R.;Southern Annular Mode-like changes in southwestern Patagonia at centennial timescales over the last three millennia.;Nature Communications;;10.1038/ncomms5375;2041-1723;Ozone (O3) soundings have been performed on Easter Island or Rapa Nui (27 °S, 109 °W, 51 m a.s.l.) since 1994 as part of the Global Atmospheric Watch Programme of the World Meteorological Organization. In this work, we analyse 260 soundings compiled over the period 1994–2014, and make the data available for the international community. We characterise O3 profiles over this remote area of the Pacific by means of statistical analyses that consider, on the one hand, a traditional climatology that describes the data in terms of seasonal cycles based on monthly averages and, on the other hand, a process-oriented analysis based on self-organising maps. Our analyses show the influence of both tropical and subtropical/mid-latitude air masses at Rapa Nui. The former occurs in summer and fall when convective conditions prevail, and the latter in late winter and spring when subsiding conditions are recurrent. The occurrence of stratospheric intrusions in late winter and spring in connection with deep troughs and the presence of the subtropical jet stream is also apparent in the data set. The tropospheric ozone column is in good agreement with the corresponding data derived from satellites but with a systematic overestimate of summer and fall values. There is evidence of an upward trend in ozone near the surface, which suggests the impact of local pollution. We look forward to an enhancement of the Rapa Nui observing site, given its location that offers a privileged position to observe climate change over the sparsely sampled and vast South Pacific Ocean.;http://www.nature.com/ncomms/2014/140710/ncomms5375/full/ncomms5375.html;art4375;vol.5;Thomson Reuters ISI
55.0;2014;Dimensión Humana;HD;2014;Nahuelhual, L., Carmona, A., Laterra, P., Barrena, J., & Aguayo, M.;A mapping approach to assess intangible cultural ecosystem services: The case of agriculture heritage in Southern Chile;Ecological Indicators;;10.1016/j.ecolind.2014.01.005;1470-160X;The current study aims to evaluate the capabilities of soil water balance modeling to estimate ET for very different conditions of rainfed grapevine water status, within a vineyard landscape that depicts heterogeneities in canopy, soil and water table conditions. We calibrated the HYDRUS-1D model against measurements of the soil moisture profile within seven contrasted sites, we validated HYDRUS-1D simulations against ET estimates derived from eddy covariance (EC) measurements within two contrasted sites, and we analyzed the temporal dynamics of the HYDRUS-1D ET simulations throughout almost two growth cycles for the seven sites. The calibration of HYDRUS-1D was correctly achieved, with a relative RMSE of 20% on average. Validation of HYDRUS-1D simulations against EC measurements was satisfactory, with RMSE values of about 40 W m−2 at the hourly timescale and 0.5 mm d−1 at the daily timescale. HYDRUS-1D was able to provide consistent time series of ET within the seven contrasted sites and throughout the two growth cycles. We conclude that HYDRUS-1D simulations can be used as an alternative to EC measurements within rainfed vineyards, to alleviate experimental efforts for device cost and maintenance. Further, HYDRUS-1D simulations can be used for characterizing spatial variabilities and temporal dynamics, assessing impact of pedological conditions and land use on ET, or validating remote sensing retrievals over regional extents.;http://www.sciencedirect.com/science/article/pii/S1470160X14000077;90-101;vol.40;Thomson Reuters ISI
56.0;2014;Dinámica del Clima;CD;2014;Pesce, O. H., & Moreno, P. I.;Vegetation, fire and climate change in central-east Isla Grande de Chiloé (43°S) since the Last Glacial Maximum, northwestern Patagonia;Quaternary Science Reviews;;10.1016/j.quascirev.2014.02.021;0277-3791;"Plant growth at extremely high elevations is constrained by high daily thermal amplitude, strong solar radiation, and water scarcity. These conditions are particularly harsh in the tropics, where the highest elevation treelines occur. In this environment the maintenance of a positive carbon balance involves protecting the photosynthetic apparatus and taking advantage of any climatically favorable periods. To characterize photoprotective mechanisms at such high elevations, and particularly to address the question of whether these mechanisms are the same as those previously described in woody plants along extratropical treelines, we have studied photosynthetic responses in Polylepis tarapacana in the central Andes (18 °S) along an elevational gradient from 4,300 to 4,900 m. For comparative purposes this gradient has been complemented with a lower elevation site (3,700 m) where another Polylepis species (P. rugulosa) occurs. During the daily cycle, two periods of photosynthetic activity were observed: one during the morning when, despite low temperatures, assimilation was high; and the second starting at noon when the stomata closed because of a rise in the vapor pressure deficit and thermal dissipation is prevalent over photosynthesis. From dawn to noon there was a decrease in the content of antenna pigments (chlorophyll b and neoxanthin), together with an increase in the content of xanthophyll cycle carotenoids. These results could be caused by a reduction in the antenna size along with an increase in photo-protection. Additionally, photo-protection was enhanced by a partial overnight retention of de-epoxised xanthophylls. The unique combination of all of these mechanisms made possible the efficient use of the favorable conditions during the morning while still providing enough protection for the rest of the day. This strategy differs completely from that of extratropical mountain trees, which uncouple light-harvesting and energy-use during long periods of unfavorable, winter conditions.";http://www.sciencedirect.com/science/article/pii/S0277379114000705;143-157;vol.90;Thomson Reuters ISI
57.0;2014;Dimensión Humana;HD;2014;Romero-Lankao, P., Hughes, S., Qin, H., Hardoy, J., Rosas-Huerta, A., Borquez, R., & Lampis, A.;Scale, urban risk and adaptation capacity in neighborhoods of Latin American cities;Habitat International;;10.1016/j.habitatint.2013.12.008;0197-3975;Central Chile is a densely populated region along the west coast of subtropical SouthAmerica (30°-36°S), limited to the east by the Andes. Precipitation is concentrated in austral winter, mostly associated with the passage of cold fronts. The freezing level over central Chile is typically between 1500 and 2500m when precipitation is present. In about a third of the cases, however, precipitation occurs accompanied by warm temperatures and freezing levels above 3000 m, leading to a sizeable increment in the pluvial area of Andean basins and setting the stage for hydrometeorological hazards. Here, warm winter storms in central Chile are studied, including a statistical description of their occurrence and an estimate of their hydrological impacts. Remote-sensed data and high-resolution reanalysis are used to explore the synoptic-scale environment of a typical case, generalized later by a compositing analysis. The structure of warm storms is also contrasted with that of the more recurrent cold cases. Precipitation during warm events occurs in the warm sector of a slow-moving cold front because of the intense moisture flux against the mountains in connection with a land-falling atmospheric river. This is in turn driven by a strong zonal jet aloft and reduced mechanical blocking upstream of the Andes. On a broader scale, a key element is the presence of a slowly moving anticyclone over the south Pacific, fostering advection of cold air intomidlatitudes. The intense and persistent zonal jet stretches a moist-air corridor from the central Pacific to the west coast of South America. © 2013 American Meteorological Society.;http://www.sciencedirect.com/science/article/pii/S0197397513001331 http://www.scopus.com/inward/record.url?eid=2-s2.0-84893420542&partnerID=tZOtx3y1;224-235;vol.42;Thomson Reuters ISI
58.0;2014;Servicios Ecosistémicos;ECO;2014;Romero-Mieres, M., González, M. E., & Lara, A.;Recuperación natural del bosque siempreverde afectado por tala rasa y quema en la Reserva Costera Valdiviana, Chile;Bosque;;10.4067/S0717-92002014000300001;0717-9200;The Nahuelbuta Mountains (NM) are a semielliptical massif 1300 m high in coastal southern Chile (37°–38°S) facing frontal storms that move from the Pacific. Mean precipitation between 900 and 1200 mm yr−1 is observed in the surrounding lowland, but river flow measurements suggest values ≥3000 mm yr−1 atop the mountains. To verify and characterize such marked orographic enhancement, 15 rain gauges were deployed around and over the NM. The observations were supplemented by a high-resolution WRF simulation and linear theory (LT) modeling during the winter of 2011. The estimated mean precipitation increases gradually from offshore (~1000 mm yr−1) to the north-facing foothills (2000 mm yr−1). The precipitation rapidly increases in the upslope sector to reach ~4000 mm yr−1 over the northern half of the NM elevated plateau, and decreases farther south to reach background values 20–30 km downstream of the mountains. The upstream (downstream) orographic enhancement (suppression) was relatively uniform among storms when considering event accumulations but varied substantially within each storm, with larger modifications during pre- and postfrontal stages and minor modifications during the brief but intense frontal passage. WRF results are in good agreement with observations in terms of seasonal and daily mean rainfall distributions, as well as temporal variability. Given its linear, steady-state formulation, the LT model cannot resolve rainfall variability at short (hourly) time scales, which in WRF is at least characterized by transient, mesoscale rainbands. Nonetheless, the rainbands are mobile so the accumulation field at monthly or longer time scales produced by the linear model is remarkably similar to its WRF counterpart.;http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92002014000300001&lng=en&nrm=iso&tlng=en;257-267;vol.35 is.3;Thomson Reuters ISI
59.0;2014;Biogeoquímica;BGQ;2015;Rondanelli, R., Molina, A., & Falvey, M.;The Atacama Surface Solar Maximum;Bulletin of the American Meteorological Society;;10.1175/BAMS-D-13-00175.1;0003-0007;On the basis of 8-years (2005-2012) of stroke data from the World Wide Lightning Location Network we describe the spatial distribution and temporal variability of lightning activity over Western Patagonia. This region extends from ∼40°S to 55°S along the west coast of South America, is limited to the east by the austral Andes, and features a hyper-humid, maritime climate. Stroke density exhibits a sharp maximum along the coast of southern Chile. Although precipitation there is largely produced by cold nimbostratus, days with more than one stroke occur up to a third of the time somewhere along the coastal strip. Disperse strokes are also observed off southern Chile. In contrast, strokes are virtually nonexistent over the austral Andes - where precipitation is maximum - and farther east over the dry lowlands of Argentina. Atmospheric reanalysis and satellite imagery are used to characterize the synoptic environment of lightning-producing storms, exemplified by a case study and generalized by a compositing analysis. Lightning activity tends to occur when Western Patagonia is immersed in a pool of cold air behind a front that has reached the coast at ∼40°S. Under these circumstances, midlevel cooling occurs before and is more prominent than near-surface cooling, leading to a weakly unstable postfrontal condition. Forced uplift of the strong westerlies impinging on the coastal mountains can trigger convection and produces significant lightning activity in this zone. Farther offshore, large-scale ascent near the cyclone's center may lift near-surface air parcels, fostering shallow convection and dispersing lightning activity. Key Points Significant lightning activity occurs in Western Patagonia Lightning storms develop under a cold, weakly unstable postfrontal condition Topography and ocean conditions favor lightning activity in Western Patagonia. © 2014. American Geophysical Union. All Rights Reserved.;http://journals.ametsoc.org/doi/abs/10.1175/BAMS-D-13-00175.1;405-418;vol.96 is.3;Thomson Reuters ISI
60.0;2014;Modelación y Sistemas de Observación;MOS;2014;Shaffer, G.;Formulation, calibration and validation of the DAIS model (version 1), a simple Antarctic ice sheet model sensitive to variations of sea level and ocean subsurface temperature;Geoscientific Model Development;;10.5194/gmd-7-1803-2014;1991-959X;"Patagonia, located in southern South America, is a vast and remote region holding a rich variety of past environmental records but a small number of meteorological stations. Precipitation over this region is mostly produced by disturbances embedded in the westerly flow and is strongly modified by the austral Andes. Uplift on the windward side leads to hyperhumid conditions along the Pacific coast and the western slope of the Andes; in contrast, downslope subsidence dries the eastern plains leading to arid, highly evaporative conditions.The authors investigate the dependence of Patagonia’s local climate (precipitation and near-surface air temperature) year-to-year variability on large-scale circulation anomalies using results from a 30-yr-long high-resolution numerical simulation. Variations of the low-level zonal wind account for a large fraction of the rainfall variability at synoptic and interannual time scales. Zonal wind also controls the amplitude of the air temperature annual cycle by changing the intensity of the seasonally varying temperature advection.The main modes of year-to-year variability of the zonal flow over southern South America are also investigated. Year round there is a dipole between mid- and high latitudes. The node separating wind anomalies of opposite sign migrates through the seasons, leading to a dipole over Patagonia during austral summer and a monopole during winter. Reanalysis data also suggests that westerly flow has mostly decreased over north-central Patagonia during the last four decades, causing a drying trend to the west of the Andes, but a modest increase is exhibited over the southern tip of the continent.";http://www.scopus.com/inward/record.url?eid=2-s2.0-84940312463&partnerID=tZOtx3y1;1803-1818;vol.7 is.4;Thomson Reuters ISI
61.0;2014;Servicios Ecosistémicos;ECO;2014;Ulrich, W., Soliveres, S., Maestre, F. T., Gotelli, N. J., Quero, J. L., Delgado-Baquerizo, M., Gómez-González, S., … Zaady, E.;Climate and soil attributes determine plant species turnover in global drylands.;Journal of biogeography;;10.1111/jbi.12377;0305-0270;"Developing spatially resolved high-resolution datasets of robust long-term changes in human demography constitutes a major challenge for archaeology. One approach is to use the distribution of summed radiocarbon-age probabilities to infer long-term population dynamics (i.e. palaeodemography). However, these can often be biased by preservation potential, site taphonomy or researcher priorities among other aspects, all of which require large datasets to resolve adequately. For this report, we have created such a dataset for the South-Central Andes (16°-25°S), here termed the South Central Andes Radiocarbon (SCAR) database. SCAR spans the last 15,000 years and incorporates ∼1700 14C-dates from 519 archeological sites reported across an extreme bioclimatic gradient that includes the hyperarid coastal Atacama Desert and adjacent cold, high-elevation Altiplano. Among the possible methodological biases, we first evaluated those related to calibration procedures. Otherwise, changes in summed probability curves show no other relevant biases except for possible research interest/priorities that could be responsible for the gaps in the record from the Bolivian altiplano. Our temporally continuous time-series indicates that prehispanic populations exhibited significant demographic changes during the last 13,100calBP. Except for coastal populations; most regions show strongly coordinated demographic fluctuations that follow the same major patterns. Thus, we identified two broad scale population events across the South-Central Andes (Atacama inland, Bolivian Altiplano) from 13,100-4000calBP and then from 4000calBP to the present. In contrast, the Atacama coastal records suggest a different and more variable occupation pattern over the last 13,460calBP, which could be driven by the interaction with oceanographic processes (i.e. upwelling). A widespread major decline at 700calBP clearly predates the Spanish colonization and occurs in all of our regions. This widespread decline does not appear to be due to methodological biases, and suggests that a population crash occurred before European occupation. Overall, the SCAR database constitutes a valuable proxy for establishing the long-term dynamics of prehistoric societies that inhabited the western Andean slope. Time-series analyses that use SCAR will shed new light on the demographic and cultural dynamics at different spatial-scales, and help clarify the processes involved in the migrational trajectories and cultural evolution of the peoples that inhabited the South-Central Andes over the last 15,000 years.";http://www.scopus.com/inward/record.url?eid=2-s2.0-84939260935&partnerID=tZOtx3y1;2307-2319;vol.41 is.12;Thomson Reuters ISI
62.0;2014;Servicios Ecosistémicos;ECO;2015;Urrutia-Jalabert, R., Rossi, S., Deslauriers, A., Malhi, Y., & Lara, A.;Environmental correlates of stem radius change in the endangered Fitzroya cupressoides forests of southern Chile;Agricultural and Forest Meteorology;;10.1016/j.agrformet.2014.10.001;0168-1923;Megacities are not only important drivers for socio-economic development but also sources of environmental challenges. Many megacities and large urban agglomerations are located in the coastal zone where land, atmosphere, and ocean meet, posing multiple environmental challenges which we consider here. The atmospheric flow around megacities is complicated by urban heat island effects and topographic flows and sea breezes and influences air pollution and human health. The outflow of polluted air over the ocean perturbs biogeochemical processes. Contaminant inputs can damage downstream coastal zone ecosystem function and resources including fisheries, induce harmful algal blooms and feedback to the atmosphere via marine emissions. The scale of influence of megacities in the coastal zone is hundreds to thousands of kilometers in the atmosphere and tens to hundreds of kilometers in the ocean. We list research needs to further our understanding of coastal megacities with the ultimate aim to improve their environmental management.;http://www.sciencedirect.com/science/article/pii/S0168192314002524;209-221;vol.200;Thomson Reuters ISI
63.0;2014;Dinámica del Clima;CD;2014;Viale, M., & Garreaud, R.;Summer Precipitation Events over the Western Slope of the Subtropical Andes;Monthly Weather Review;;10.1175/MWR-D-13-00259.1;0027-0644;Post-fire recruitment by seeds is regarded as an adaptive response in fire-prone ecosystems. Nevertheless, little is known about which heritable seed traits are functional to the main signals of fire (heat and smoke), thus having the potential to evolve. Here, we explored whether three seed traits (pubescence, dormancy and shape) and fire regime modulate seed response to fire cues(heat and smoke). As a model study system, we used  Helenium aromaticum  (Asteraceae), a native annual forb from the Chilean matorral, where fires are anthropogenic. We related seed trait values with fitness responses (germination and survival) after exposure to heat-shock and smoke experimental treatments on seeds from 10  H .  aromaticum  wild populations. We performed a phenotypic selection experiment to examine the relationship of seed traits with post-treatment fitness within a population (adaptive hypothesis). We then explored whether fire frequency in natural habitats was associated with trait expression across populations, and with germination and survival responses to experimental fire-cues. We found that populations subjected to higher fire frequency had, in average, more rounded and pubescent seeds than populations from rarely burned areas. Populations with more rounded and pubescent seeds were more resistant to 80°C heat-shock and smoke treatments.There was correlated selection on seed traits: pubescent-rounded or glabrouscent-elongated seeds had the highest probability of germinating after heat-shock treatments. Seed pubescence and shape in  H .  aromaticum  are heritable traits that modulate adaptive responses to fire. Our results provide new insights into the process of plant adaptation to fire and highlight the relevance of human-made fires as a strong evolutionary agent in the Anthropocene.;http://journals.ametsoc.org/doi/abs/10.1175/MWR-D-13-00259.1;1074-1092;vol.142 is.3;Thomson Reuters ISI
64.0;2015;Modelación y Sistemas de Observación;MOS;2016;Albrecht, F., & Shaffer, G.;Regional Sea-Level Change along the Chilean Coast in the 21st century;Journal of Coastal Research;;10.2112/JCOASTRES-D-15-00192.1;0749-0208;The fire season of 2014-2015 in Chile has been one of the worst of the last 50 years, with large and simultaneous fires affecting vast areas of Andean Araucaria-Nothofagus forests in several national parks, forest reserves and private properties. The worst-affected protected areas are China Muerta and Malleco National Reserves, and Conguillío and Tolhuaca National Parks, with an estimated total area of.12,000 ha burned. In 2002 fires burned.20,000 ha, af- fecting mostly the same protected areas and other private land covered by Araucaria forests, with c. 30 and 60%of the total area of Malleco National Reserve and Tolhuaca National Park burned, respectively. As then, the 2014-2015 fires have stirred public, political and scientific concern.;http://www.jcronline.org/doi/abs/10.2112/JCOASTRES-D-15-00192.1;1322-1332;vol.32 is.6;Thomson Reuters ISI
65.0;2015;Biogeoquímica;BGQ;2015;Alcamán, M. E., Fernandez, C., Delgado-Huertas, A., Bergman, B., & Díez, B.;The cyanobacterium Mastigocladus fulfills the nitrogen demand of a terrestrial hot spring microbial mat;The ISME Journal;;10.1038/ismej.2015.63;1751-7362;Canopy gaps have been recognized as an important process in the regeneration dynamics of Andean old-growth forests (ca. 40º S). The objectives of the study were to determine main tree-fall gap attributes and to assess tree recruitment and growth patterns in tree-fall gaps of two mid-elevation Andean old-growth forests. We measured the canopy and expanded area of each gap, and for the gap-maker species we measured its diameter at breast height (dbh), felling direction and type of treefall. In each gap, tree seedlings, saplings and bamboo culms were counted in subplots. Increment cores of potential successors were obtained to examine growth patterns. There was a larger area in canopy gaps in NF than in STF (25.8 vs. 11.9 %). Expanded gaps were on average larger in NF than in STF (547 vs. 440 m2 ). Most gaps were originated by wind-snap and upturned root-plates of all the major tree species (Laureliopsis philippiana, Saxegothaea conspicua and Dasyphyllum diacanthoides, and Nothofagus dombeyi in NF). The understory species Chusquea culeou was an important competitor in gaps, especially in STF where the bamboo was more effective inhibiting the recruitment of tree seedlings. The successful recruitment of shade-tolerant tree species beneath endogenous tree-fall gaps indicates that these species follow a gap-phase regeneration mode through which -after several growth releases- they can reach the main canopy. These studies could offer valuable insights for the urgently required restoration and management of Andean old-growth forests.;http://www.nature.com/doifinder/10.1038/ismej.2015.63 http://www.scopus.com/inward/record.url?eid=2-s2.0-84942191029&partnerID=tZOtx3y1;2290-2303;vol.9 is.10;Thomson Reuters ISI
66.0;2015;Dimensión Humana;HD;2016;Aldunce, P., Beilin, R., Handmer, J., & Howden, M.;Stakeholder participation in building resilience to disasters in a changing climate;Environmental Hazards;;10.1080/17477891.2015.1134427;1747-7891;Second-growth forests represent the greatest potential resource for forest management and large-scale ecological restoration in many regions. In south-central Chile, second-growth forests include those dominated by Nothofagus obliqua , N. dombeyi , Drimys winteri , and a mixture of evergreen species, especially hardwoods. This article examines the influence of fire and logging on the establishment patterns and development of second-growth forests in south-central Chile. We characterize the size structure and composition of these four types of forests with sampling plots. The identification of the type of disturbance and its date of occurrence was determined from evidence such as fire scars and even-aged pulses of tree establishment. The size, structure and species composition of these forests indicate an intermediate state of development with an average density and basal area ranging from 1294 to 5038 trees ha -1 and from 59 to 85 m 2 ha -1 , respectively. Logging and/or devastating fires that occurred in the early decades of the 1900s promoted the relatively rapid establishment and growth of pioneer species ( Nothofagus obliqua, N. dombeyi, D. winteri ). In the Mixed Evergreen second-growth forests, mid-shade or shade tolerant species (e.g., Gevuina avellana, Eucryphia cordifolia, Amomyrtus luma, and A. meli ) became established mostly through vegetative sprouting. Fires and logging have been pervasive factors in determining the structural and compositional uniformity of the native forests of south-central Chile. Ecological restoration at a landscape level, either by ecological processes (i.e., a reduction in fire frequency) and/or the structure and composition of second-growth forests, provide a relevant approach to accelerating the generation of attributes of old-growth forests, therefore meeting manifold societal demands for forest goods and services. Los bosques secundarios representan el mayor recurso forestal para el manejo y la restauración de gran escala en muchas regiones del mundo. En el centro-sur de Chile los bosques secundarios están dominados por Nothofagus obliqua , N. dombeyi , D. winteri , y Siempreverde mixtos. El presente artículo examina la influencia del fuego y tala en los patrones de establecimiento y desarrollo de bosques secundarios de la región centro-sur de Chile. Para la caracterización de la estructura y composición de cada bosque secundario se seleccionaron rodales representativos estableciendo 4-6 parcelas de 900 m 2 . El tipo de disturbio y su fecha de ocurrencia fue establecido a través de evidencias tales como cicatrices de fuego y pulsos de establecimiento de árboles. La estructura de tamaños y composición indican un estado de desarrollo intermedio o de reiniciación del sotobosque presentando en promedio una densidad y área basal que varía entre 1294 y 5038 árboles ha -1 y entre 59 y 85 m 2 ha -1 , respectivamente. Incendios de gran severidad y/o madereo ocurridos en las primeras décadas de los 1900 promovieron un rápido establecimiento de las principales especies pioneras ( Nothofagus obliqua, N. dombeyi, D. winteri ). En los bosques secundarios Siempreverde mixtos, el establecimiento de especies tolerantes o semi-tolerantes a la sombra (ej., Gevuina avellana, Eucryphia cordifolia ), fue principalmente por rebrotes vegetativos. El fuego y madereo han sido agentes clave en determinar la uniformidad estructural y composicional de los bosques nativos del centro-sur de Chile. La restauración ecológica a escala de paisaje, tanto de procesos ecológicos (frecuencia incendios) como de la estructura y composición de los bosques secundarios, ofrece una relevante aproximación para acelerar la generación de atributos de bosques antiguos que satisfagan los múltiples bienes y servicios ecosistémicos demandados por la sociedad.;http://www.tandfonline.com/doi/abs/10.1080/17477891.2015.1134427?journalCode=tenh20;58-73;vol.15 is.1;Thomson Reuters ISI
67.0;2015;Dinámica del Clima;CD;2015;Álvarez, C., Veblen, T. T., Christie, D. A., & González-Reyes, Á.;Relationships between climate variability and radial growth of Nothofagus pumilio near altitudinal treeline in the Andes of northern Patagonia, Chile;Forest Ecology and Management;;10.1016/j.foreco.2015.01.018;0378-1127;Air quality networks need revision and optimisation as instruments and network requirements, both scientific and societal, evolve over time. Assessing and optimising the information content of a monitoring network is a non-trivial problem. Here, we introduce a methodology formulated in a variational framework using an air quality model to simulate the dispersion of carbon monoxide (CO) as a passive tracer at the city scale.Weaddress the specific case of adding or removing stations, and the more general situation of optimally distributing a given number of stations in a domain taking into account transport patterns and spatial factors such as population density and emission patterns.Weconsider three quality indicators: precision gain, information gain and degrees of freedom for a signal. These metrics are all functions of the singular values of the sensitivity matrix that links emissions and observations in the variational framework.Weillustrate the application of the methodology in the case of Santiago (33.58S, 70.58W, 500ma.s.l.), a city of ca. 7 million inhabitants with significant pollution levels. Wedeem information gain as the best of the above indicators for this case.Wethen quantify the actual evolution of Santiago’s network and compare it with the optimal configuration suggested by our methodology and with results previously obtained using a statistical approach. The application is restricted to diurnal and summer conditions, for which the dispersion model shows a good agreement with observations. The current method offers advantages in that it allows extending a network to include new sites, and it explicitly considers the effects of dispersion patterns, and desired weighting functions such as emission fluxes and population density. We find that Santiago’s air quality has improved two-fold since 1988, regarding CO under diurnal summer conditions. Still, according to our results, the current configuration could be improved by integrating more suburban stations in the southwest of the basin.;http://www.sciencedirect.com/science/article/pii/S0378112715000201;112-121;vol.342;Thomson Reuters ISI
68.0;2015;Modelación y Sistemas de Observación;MOS;2015;Arias, P. A., Fu, R., Vera, C., & Rojas, M.;A correlated shortening of the North and South American monsoon seasons in the past few decades;Climate Dynamics;;10.1007/s00382-015-2533-1;0930-7575;Disentangling the roles of paleofires and explosive volcanism from climatic drivers of past vegetation change is a subject insufficiently addressed in the paleoecological literature. The coastal region of the Chiloé Continental sector of northwestern Patagonia is ideal in this regard considering its proximity to active eruptive centers and the possibility of establishing comparisons with more distal, upwind sites where volcanic influence is minimal. Here we present a fine-resolution pollen and macroscopic charcoal record from Lago Teo with the aim of documenting the local vegetation and climate history, and assessing the role of disturbance regimes as drivers of vegetation change during the last ∼10,000 years. The Lago Teo record shows a conspicuous warm/dry interval between ∼7500 and 10,000 cal yrs BP followed by a cooling trend and increase in precipitation that has persisted until the present, in agreement with previous studies in the region and interpretations of past southern westerly wind activity at multi-millennial scales. The presence of 26 tephras throughout the record allows examination of the relationship between explosive volcanism and vegetation change under contrasting climatic states of the Holocene. We found consistent statistically significant increases in Tepualia stipularis after tephra deposition over the last 10,000 years, in Eucryphia/Caldcluvia between 7500 and 10,000 cal yrs BP and in Hydrangea over the last 7500 years. Our results indicate a primary role of climate change as driver of long-term vegetation change and as a modulator of vegetation responses to volcanic disturbance at multidecadal and centennial timescales.;http://www.scopus.com/inward/record.url?eid=2-s2.0-84947491620&partnerID=tZOtx3y1 http://link.springer.com/article/10.1007%2Fs00382-015-2533-1;3183-3203;vol.45 is.11-12;Thomson Reuters ISI
69.0;2015;Dinámica del Clima;CD;2015;Boisier, J. P., Ciais, P., Ducharne, A., & Guimberteau, M.;Projected strengthening of Amazonian dry season by constrained climate model simulations;Nature Climate Change;;10.1038/nclimate2658;1758-678X;In the framework of the World Meteorological Organisation's Sand and Dust Storm Warning Advisory and Assessment System, we evaluated the predictions of five state-of-the-art dust forecast models during an intense Saharan dust outbreak affecting western and northern Europe in April 2011. We assessed the capacity of the models to predict the evolution of the dust cloud with lead times of up to 72 h using observations of aerosol optical depth (AOD) from the AErosol RObotic NETwork (AERONET) and the Moderate Resolution Imaging Spectroradiometer (MODIS) and dust surface concentrations from a ground-based measurement network. In addition, the predicted vertical dust distribution was evaluated with vertical extinction profiles from the Cloud and Aerosol Lidar with Orthogonal Polarization (CALIOP). To assess the diversity in forecast capability among the models, the analysis was extended to wind field (both surface and profile), synoptic conditions, emissions and deposition fluxes. Models predict the onset and evolution of the AOD for all analysed lead times. On average, differences among the models are larger than differences among lead times for each individual model. In spite of large differences in emission and deposition, the models present comparable skill for AOD. In general, models are better in predicting AOD than near-surface dust concentration over the Iberian Peninsula. Models tend to underestimate the long-range transport towards northern Europe. Our analysis suggests that this is partly due to difficulties in simulating the vertical distribution dust and horizontal wind. Differences in the size distribution and wet scavenging efficiency may also account for model diversity in long-range transport.;http://www.scopus.com/inward/record.url?eid=2-s2.0-84932110744&partnerID=tZOtx3y1;656-660;vol.5 is.7;Thomson Reuters ISI
70.0;2015;"Biogeoquímica; Dinámica del Clima; Modelación y Sistemas de Observación";BGQ, CD, MOS;2016;Boisier, J. P., Rondanelli, R., Garreaud, R., & Muñoz, F.;Anthropogenic and natural contributions to the Southeast Pacific precipitation decline and recent mega-drought in central Chile;Geophysical Research Letters;;10.1002/2015GL067265;0094-8276;The effective radiative forcings (including rapid adjustments) and feedbacks associated with an instantaneous quadrupling of the preindustrial CO<inf>2</inf> concentration and a counterbalancing reduction of the solar constant are investigated in the context of the Geoengineering Model Intercomparison Project (GeoMIP). The forcing and feedback parameters of the net energy flux, as well as its different components at the top-of-atmosphere (TOA) and surface, were examined in 10 Earth System Models to better understand the impact of solar radiation management on the energy budget. In spite of their very different nature, the feedback parameter and its components at the TOA and surface are almost identical for the two forcing mechanisms, not only in the global mean but also in their geographical distributions. This conclusion holds for each of the individual models despite intermodel differences in how feedbacks affect the energy budget. This indicates that the climate sensitivity parameter is independent of the forcing (when measured as an effective radiative forcing). We also show the existence of a large contribution of the cloudy-sky component to the shortwave effective radiative forcing at the TOA suggesting rapid cloud adjustments to a change in solar irradiance. In addition, the models present significant diversity in the spatial distribution of the shortwave feedback parameter in cloudy regions, indicating persistent uncertainties in cloud feedback mechanisms. ©2014. American Geophysical Union. All Rights Reserved.;http://doi.wiley.com/10.1002/2015GL067265;413-421;vol.43 is.1;Thomson Reuters ISI
