N;Funding Year;Report 4.5;Manual Tags;Research Lines;Publication Year;Author original;Author;File Attachments;Link Attachments;Manual Tags.1;Lines Collaboration;N.1;Title of publication;Journal;Volume;Pages;Year;CR2 ;Researchers;Principal Researchers;Full time Researchers;Associate Researchers;Adjoint Researchers;Postdoc.;Undergraduated Students;Graduated Students;FONDAP;FONDECYT;FONDEF;BASAL;ICM;OTHER (especify);ESPECIFY;Journal Name;ISSN;Name Check;Sub Category;Journal Rank;% Journal Rank;Is it top 10 in category;Journal Impact Factor;5 year Journal Impact Factor;Scimago Quartile;Copy for Cites Title;Copy for Cites DOI;DOI WOS;WOS Title;Total Citations 2017;Total Citations;Average per Year;c2012;c2013;c2014;c2015;c2016;c2017;c2018;c2019;c2020;c2021;c2022;DOI AFF;AFF Countries;AFF Institutions;TI WOS;Control doi diff;Int collaboration;Nat collab;N° collaboration national WOS;N° collaboration national SCOPUS;CR2;OTHER (specify)
269.0;2018;si;Ciudades Resilientes;Ciudades;2018;Santoro, C.M., Castro, V., Capriles, J.M., Barraza, J., Correa, J., Marquet, P.A., McRostie, V., Gayo, E.M., Latorre, C., Valenzuela, D., Uribe, M., de Porras, M.E., Standen, V.G., Angelo, D., Maldonado, A., Hamame, E., Jofre, D.;Santoro, C.M., Castro, V., Capriles, J.M., Barraza, J., Correa, J., Marquet, P.A., McRostie, V., Gayo, E.M., Latorre, C., Valenzuela, D., Uribe, M., de Porras, M.E., Standen, V.G., Angelo, D., Maldonado, A., Hamame, E., Jofre, D.;;;Ciudades Resilientes;1.0;269.0;"Acta de Tarapacá: ""Pueblo sin Agua, Pueblo Muerto""";Chungará (Arica);Vol.50 is.2;-;2018;1.0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;10;30;0.0;10.0;10.0;40;PIA;Chungará (Arica);0717-7356;CHUNGARA;Anthropology;53/85;62,35%;0;0,713;0,856;Q3;"Acta de Tarapacá: ""Pueblo sin Agua, Pueblo Muerto""";10.4067/S0717-73562018000200169;10.4067/S0717-73562018000200169;THE TARAPACA DECLARATION: A WATERLESS PEOPLE IS A DEAD PEOPLE;;0;0;0;0;0;0;0;0;0;;;;;10.4067/S0717-73562018000200169;{United States, Argentina, Chile};"{Instituto de Alta Investigación, Universidad de Tarapacá, Arica, Chile; Departamento de Antropología, Universidad de Chile, Santiago, Chile; Departamento de Antropología, Universidad Alberto Hurtado, Santiago, Chile; Department of Anthropology, The Pennsylvania State University, University Park, United States; Departamento de Ecología, Pontificia Universidad Católica de Chile, Santiago, Chile; Laboratorio Internacional en Cambio Global (LINCGlobal), Pontificia Universidad Católica de Chile, Santiago, Chile; Instituto de Ecología y Biodiversidad (IEB), Santiago, Chile; Departamento de Antropología, Pontificia Universidad Católica de Chile, Santiago, Chile; Centro UC Desierto de Atacama, Pontificia Universidad Católica de Chile, Santiago, Chile; Center for Climate and Resilience Research (CR)2, Laboratory for Stable Isotope Biogeochemistry, Universidad de Concepción, Chile; Departamento de Antropología, Universidad de Tarapacá, Arica, Chile; Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales (IANIGLA - CCT CONICET Mendoza), Argentina; Centro de Estudios Avanzados en Zonas áridas (CEAZA), Universidad de La Serena, La Serena, Chile; Escuela de Ciencia Política, Instituto Ciencias Sociales, Universidad Diego Portales, Santiago, Chile; Departamento de Antropología, Universidad Católica de Temuco, Chile}";"The tarapacá declaration: ""A waterless people is a dead people"" [Acta de tarapacá: ""Pueblo sin agua, pueblo muerto""]";TRUE;1;1;14;13;;
270.0;2018;si;Agua y Extremos, Gobernanza e Interfaz Ciencia y Política;Extremos, Gobernanza;2018;Sapiains, R., Ugarte, A., Aldunce, P.;Sapiains, R., Ugarte, A., Aldunce, P.;;;Agua y Extremos, Gobernanza e Interfaz Ciencia y Política;2.0;270.0;Los significados de la participación para el cambio climático en Chile;Ambiente y Desarrollo;Vol.21 is.41;43-60;2018;2.0;2;0.0;0.0;2.0;0.0;0.0;0.0;0.0;30;0;0.0;0.0;0.0;70;PAI Conicyt;Ambiente y Desarrollo;0716-1476;ESCI – ISI;;;;;;;;Los significados de la participación para el cambio climático en Chile;10.11144/Javeriana.ayd21-41.spcc;10.11144/Javeriana.ayd21-41.spcc;The Meanings of Participation for Climate Change in Chile;;0;0;0;0;0;0;0;0;0;;;;;10.11144/Javeriana.ayd21-41.spcc;{Australia, Chile};"{ Univ Queensland, Psychol Factors Environm Management, Brisbane, Qld, Australia;  Univ Chile, Acad, Santiago, Chile;  Univ Chile, Programa Estudios Latinoamer, Santiago, Chile;  Univ Melbourne, Social Sci & Nat Resources Management, Melbourne, Vic, Australia}";#N/D;TRUE;1;0;2;#N/D;;
271.0;2018;si;Zonas Costeras;Costas;2018;Sepulveda-Jauregui, A., Martinez-Cruz, K., Lau, M., Casper, P.;Sepulveda-Jauregui, A., Martinez-Cruz, K., Lau, M., Casper, P.;;;Zonas Costeras;1.0;271.0;Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;Freshwater Biology;Vol.63 is.12;1534-1549;2018;1.0;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;100;-;Freshwater Biology;0046-5070;FRESHWATER BIOL;Marine & Freshwater Biology;5/106;4,72%;1;3,767;3,722;Q1;Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;10.1111/fwb.13182;10.1111/fwb.13182;Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;;0;0;0;0;0;0;0;0;0;;;;;10.1111/fwb.13182;{Germany, Chile};"{Department of Experimental Limnology, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, Stechlin, Germany; Department of Sciences and Natural Resources, University of Magallanes, Punta Arenas, Chile; Center for Climate and Resilience Research (CR)2, University of Chile, Santiago, Chile; Department of Chemical Analytics and Biogeochemistry, Leibniz-Institute of Freshwater Ecology and Inland Fisheries, Berlin, Germany}";Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago;TRUE;1;1;2;2;;
272.0;2018;si;Ciudades Resilientes;Ciudades;2018;Shaffer, G., Lambert, F.;Shaffer, G., Lambert, F.;;;Ciudades Resilientes;1.0;272.0;In and out of glacial extremes by way of dust−climate feedbacks;Proceedings of the National Academy of Sciences;Vol.115 is.9;2026-2031;2018;1.0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;25;50;0.0;0.0;0.0;25;-;Proceedings of the National Academy of Sciences;0027-8424;P NATL ACAD SCI USA;Multidisciplinary Sciences;5/64;7,81%;1;9,504;10,359;Q1;In and out of glacial extremes by way of dust−climate feedbacks;10.1073/pnas.1708174115;10.1073/pnas.1708174115;In and out of glacial extremes by way of dust-climate feedbacks;;0;0;0;0;0;0;0;0;0;;;;;10.1073/pnas.1708174115;{Denmark, Chile};"{GAIA, Antartica Research Center, University of Magallanes, Punta Arenas, Chile; Niels Bohr Institute, University of Copenhagen, Copenhagen OE, 2100, Denmark; Department of Physical Geography, Pontifical Catholic University of Chile, Santiago, Chile; Center for Climate and Resilience Research, University of Chile, Santiago, Chile}";In and out of glacial extremes by way of dust−climate feedbacks;TRUE;1;1;3;3;;
273.0;2018;si;Zonas Costeras;Costas;2018;Toledo, F., Garrido, C., Díaz, M., Rondanelli, R., Jorquera, S., Valdivieso, P.;Toledo, F., Garrido, C., Díaz, M., Rondanelli, R., Jorquera, S., Valdivieso, P.;;;Zonas Costeras;1.0;273.0;AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers: AOT RETRIEVAL METHOD FOR SUN PHOTOMETERS;Journal of Geophysical Research: Atmospheres;Vol.123 is.2;1113-1131;2018;1.0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;10;90;0.0;0.0;0.0;0;-;Journal of Geophysical Research: Atmospheres;2169-897X;J GEOPHYS RES-ATMOS;Meteorology & Atmospheric Sciences;18/86;20,93%;0;3,38;4,136;Q1;AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers: AOT RETRIEVAL METHOD FOR SUN PHOTOMETERS;10.1002/2017JD027309;10.1002/2017JD027309;AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers;;0;0;0;0;0;0;0;0;0;;;;;10.1002/2017JD027309;{Chile};"{Electrical Engineering Department, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Space and Planetary Exploration Laboratory, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Department of Mechanical Engineering, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Department of Geophysics, Faculty of Physical and Mathematical Sciences, University of Chile, Santiago, Chile; Center for Climate and Resilience Research, University of Chile, Santiago, Chile}";AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers;TRUE;0;1;5;5;;
274.0;2018;si;Ciudades Resilientes;Ciudades;2018;Urquiza A., Amigo, C., Billi M., Espinosa, P.;Urquiza A., Amigo, C., Billi M., Espinosa, P.;;;Ciudades Resilientes;1.0;274.0;Participatory Energy Transitions as Boundary Objects: The Case of Chile's Energía2050;Frontiers in Energy Research;Vol.6;;2018;3.0;1;0.0;0.0;1.0;0.0;0.0;0.0;2.0;70;0;0.0;0.0;0.0;30;Fondo de Fortalecimiento de Productividad y Continuidad en Investigación (FPCI), Facultad de Ciencias Sociales, Universidad de Chile;Frontiers in Energy Research;2296-598X;ESCI – ISI;;;;;;;;Participatory Energy Transitions as Boundary Objects: The Case of Chile's Energía2050;10.3389/fenrg.2018.00134;;;;;;;;;;;;;;;;;;;;;;;;;;;
275.0;2018;si;Ciudades Resilientes;Ciudades;2018;Urquiza A., Billi M.;Urquiza A., Billi M.;;;Ciudades Resilientes;1.0;275.0;Water markets and social–ecological resilience to water stress in the context of climate change: an analysis of the Limarí Basin, Chile;Environment, Development and Sustainability;inpress;inpress;2018;2.0;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;80;0;0.0;0.0;0.0;20;Beca Conicyt de doctorado;Environment, Development and Sustainability;1387-585X;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;Water markets and social–ecological resilience to water stress in the context of climate change: an analysis of the Limarí Basin, Chile;10.1007/s10668-018-0271-3;;;;;;;;;;;;;;;;;10.1007/s10668-018-0271-3;{Chile};"{Centre for Climate and Resilience Research (CR)2 & Social Sciences Faculty, Universidad de Chile, Santiago, Chile; School of Government & Millennium Nucleus Models of Crisis, Universidad Adolfo Ibañez, Peñalolén, Chile}";Water markets and social–ecological resilience to water stress in the context of climate change: an analysis of the Limarí Basin, Chile;TRUE;0;0;#N/D;2;;
276.0;2018;si;Ciudades Resilientes;Ciudades;2018;Urquiza, A., Amigo, C., Billi, M., Bradao, G., Morales, B.,;Urquiza, A., Amigo, C., Billi, M., Bradao, G., Morales, B.,;;;Ciudades Resilientes;1.0;276.0;Metalogue as a transdisciplinary collaboration tool;Cinta moebio;Vol.62;182-198;2018;3.0;1;0.0;0.0;1.0;0.0;0.0;1.0;1.0;70;0;0.0;0.0;0.0;30;15 VID, 15 CONICYT;Cinta moebio;0717-554X;ESCI – ISI;;;;;;;;Metalogue as a transdisciplinary collaboration tool;10.4067/S0717-554X2018000200182;;;;;;;;;;;;;;;;;10.4067/S0717-554X2018000200182;{Brazil, Chile};"{Centro de Ciencia del Clima y la Resiliencia, Universidad de Chile, Santiago, Chile; Análisis Sistémico aplicado a la Sociedad, Universidad de Chile, Santiago, Chile; Escuela de Gobierno, Universidad Adolfo Ibáñez, Santiago, Chile; Núcleo de Innovación Tecnológica, Instituto Nacional de Investigaciones Espaciales, São José dos Campos, Brazil}";Metalogue as a transdisciplinary collaboration tool [Metálogo como herramienta de colaboración transdisciplinaria];TRUE;1;0;#N/D;3;;
277.0;2018;si;Agua y Extremos, Cambio de Uso de Suelo ;Extremos, Suelo;2018;Urrutia-Jalabert, R., González, M. E., González-Reyes, A., Lara, A., Garreaud, R.;Urrutia-Jalabert, R., González, M. E., González-Reyes, A., Lara, A., Garreaud, R.;;;Agua y Extremos, Cambio de Uso de Suelo;2.0;277.0;Climate variability and forest fires in central and south-central Chile;Ecosphere;Vol.9 is.4;e02171;2018;4.0;3;2.0;0.0;1.0;0.0;1.0;0.0;0.0;30;30;0.0;0.0;0.0;40;Seventh Framework Programme of the European Union;Ecosphere;2150-8925;ECOSPHERE;Ecology;55/158;34,81%;0;2,671;3,007;Q2;Climate variability and forest fires in central and south-central Chile;10.1002/ecs2.2171;10.1002/ecs2.2171;Climate variability and forest fires in central and south-central Chile;;2;2;0;0;0;0;0;0;2;;;;;10.1002/ecs2.2171;{Chile};"{Laboratorio de Dendrocronologia y Cambio Global, Instituto de Conservación, Biodiversidad y Territorio, Universidad Austral de Chile, Independencia 641, Valdivia, Chile; Center for Climate and Resilience Research (CR), 2 (squared), Blanco Encalada 2002, Santiago, Chile; Instituto de Ciencias de la Tierra, Facultad de Ciencias, Universidad Austral de Chile, Independencia 641, Valdivia, Chile; Departamento de Geofísica, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Blanco Encalada 2002, Santiago, Chile}";Climate variability and forest fires in central and south-central Chile;TRUE;0;0;4;4;;
278.0;2018;si;Cambio de Uso de Suelo;Suelo;2018;Urrutia-Jalabert, R., Peña, M. P. Coopman, R. E., Carvajal, D. E., Jiménez-Castillo, M., Lara, A., Cosimo, D., Lobos-Catalán, P.;Urrutia-Jalabert, R., Peña, M. P. Coopman, R. E., Carvajal, D. E., Jiménez-Castillo, M., Lara, A., Cosimo, D., Lobos-Catalán, P.;;;Cambio de Uso de Suelo;1.0;278.0;Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;Forest Ecology and Management;Vol.430;472-484;2018;1.0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;15;80;0.0;0.0;0.0;5;-;Forest Ecology and Management;0378-1127;FOREST ECOL MANAG;Forestry;4/66;6,06%;1;3,169;3,524;Q1;Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;10.1016/j.foreco.2018.08.027;10.1016/j.foreco.2018.08.027;Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;;0;0;0;0;0;0;0;0;0;;;;;10.1016/j.foreco.2018.08.027;{Chile};"{Laboratorio de Dendrocronología y Cambio Global, Instituto de Conservación, Biodiversidad y Territorio, Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile, Valdivia, Chile; Centro de Ciencia del Clima y la Resiliencia, CR2, Santiago, Chile; Laboratorio de Ecofisiología para la Conservación de Bosques, Instituto de Conservación, Biodiversidad y Territorio, Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile, Valdivia, Chile; Departamento de Biología, Universidad de la Serena, La Serena, Chile; Instituto de Ecología y Biodiversidad (IEB), Santiago, Chile; Instituto de Ciencias Ambientales y Evolutivas, Facultad de Ciencias, Universidad Austral de Chile, Valdivia, Chile}";Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification;TRUE;0;1;6;6;;
279.0;2018;si;Ciudades Resilientes;Ciudades;2018;Valenzuela, D., Cartagena, I., Santoro, C.M., Castro, V., Gayo, E.M.;Valenzuela, D., Cartagena, I., Santoro, C.M., Castro, V., Gayo, E.M.;;;Ciudades Resilientes;1.0;279.0;Andean caravan ceremonialism in the lowlands of the Atacama Desert: The Cruces de Molinos archaeological site, northern Chile;Quaternary International;inpress;inpress;2018;1.0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;10;60;0.0;0.0;0.0;30;PIA;Quaternary International;1040-6182;QUATERN INT;Geosciences, Multidisciplinary;85/189;44,97%;0;2,163;2,488;Q2;Andean caravan ceremonialism in the lowlands of the Atacama Desert: The Cruces de Molinos archaeological site, northern Chile;10.1016/j.quaint.2018.09.016;;;;;;;;;;;;;;;;;10.1016/j.quaint.2018.09.016;{Chile};"{Departamento de Antropología, Universidad de Tarapacá, Cardenal Caro # 348, Arica, 1010068, Chile; Departamento de Antropología, Universidad de Chile, Av. Ignacio Carrera Pinto #1045, Ñuñoa, Santiago, Chile; Laboratorio de Arqueología y Paleoambiente, Instituto de Alta Investigación, Universidad de Tarapacá, Antofagasta #1520, Arica, 1001236, Chile; Departamento de Antropología, Universidad Alberto Hurtado, Almirante Barroso # 10Santiago, Chile; Center for Climate and Resilience Research (CR)2 & Laboratory for Stable Isotope Biogeochemistry, Universidad de Concepción, Chile}";Andean caravan ceremonialism in the lowlands of the Atacama Desert: The Cruces de Molinos archaeological site, northern Chile;TRUE;0;1;#N/D;5;;
280.0;2018;si;Agua y Extremos;Extremos;2018;Valenzuela, R. A., Kingsmill, D. E.;Valenzuela, R. A., Kingsmill, D. E.;;;Agua y Extremos;1.0;280.0;Terrain-Trapped Airflows and Orographic Rainfall along the Coast of Northern California. Part II: Horizontal and Vertical Structures Observed by a Scanning Doppler Radar;Monthly Weather Review;Vol.146 is.8;2381-2402;2018;1.0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0.0;0.0;0.0;100;-;Monthly Weather Review;0027-0644;MON WEATHER REV;Meteorology & Atmospheric Sciences;20/86;23,26%;0;3,247;3,737;Q1;Terrain-Trapped Airflows and Orographic Rainfall along the Coast of Northern California. Part II: Horizontal and Vertical Structures Observed by a Scanning Doppler Radar;10.1175/MWR-D-17-0227.1;10.1175/MWR-D-17-0227.1;Terrain-Trapped Airflows and Orographic Rainfall along the Coast of Northern California. Part II: Horizontal and Vertical Structures Observed by a Scanning Doppler Radar;;0;0;0;0;0;0;0;0;0;;;;;10.1175/MWR-D-17-0227.1;{United States, Chile};"{Department of Atmospheric and Oceanic Sciences, University of Colorado Boulder, Boulder, CO, United States; Cooperative Institute for Research in Environmental Sciences, University of Colorado Boulder, Boulder, CO, United States; Department of Geophysics and Center for Climate and Resilience Research, University of Chile, Santiago, Chile}";Terrain-trapped airflows and orographic rainfall along the coast of Northern California. Part II: Horizontal and vertical structures observed by a scanning doppler radar;TRUE;1;;2;1;;
281.0;2018;si;Cambio de Uso de Suelo;Suelo;2018;Vargas, C. A., Cuevas, L. A., Silva, N., González, H. E., De Pol-Holz, R., Narváez, D. A.;Vargas, C. A., Cuevas, L. A., Silva, N., González, H. E., De Pol-Holz, R., Narváez, D. A.;;;Cambio de Uso de Suelo;1.0;281.0;Influence of Glacier Melting and River Discharges on the Nutrient Distribution and DIC Recycling in the Southern Chilean Patagonia;Journal of Geophysical Research: Biogeosciences;Vol.123 is.1;256-270;2018;1.0;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;25;25;0.0;0.0;50.0;0;-;Journal of Geophysical Research: Biogeosciences;2169-8953;J GEOPHYS RES-BIOGEO;Geosciences, Multidisciplinary;31/189;16,4%;0;3,484;4,217;Q2;Influence of Glacier Melting and River Discharges on the Nutrient Distribution and DIC Recycling in the Southern Chilean Patagonia;10.1002/2017JG003907;10.1002/2017JG003907;Influence of Glacier Melting and River Discharges on the Nutrient Distribution and DIC Recycling in the Southern Chilean Patagonia;;1;1;0;0;0;0;0;0;1;;;;;10.1002/2017JG003907;{Chile};"{Aquatic Ecosystem Functioning Lab, Department of Aquatic System, Faculty of Environmental Sciences and Environmental Sciences Center EULA Chile, Universidad de Concepción, Concepción, Chile; Center for the Study of Multiple Drivers on Marine Socio-Ecological Systems, Universidad de Concepción, Concepción, Chile; Millenium Institute of Oceanography, Universidad de Concepción, Concepción, Chile; Escuela de Ciencias del Mar, Pontificia Universidad Católica de Chile, Valparaíso, Chile; Instituto de Ciencias Marinas y Limnológicas, Universidad Austral de Chile, Valdivia, Chile; Centro de Investigación de Ecosistemas de Altas Latitudes, Universidad Austral de Chile, Valdivia, Chile; GAIA-Antártica, Universidad de Magallanes, Punta Arenas, Chile; Department of Oceanography and COPAS Sur-Austral, Universidad de Concepción, Concepción, Chile}";Influence of Glacier Melting and River Discharges on the Nutrient Distribution and DIC Recycling in the Southern Chilean Patagonia;TRUE;0;1;10;8;;
282.0;2018;si;Agua y Extremos;Extremos;2018;Viale M., Valenzuela R., Garreaud R.D., Ralph F.M.;Viale M., Valenzuela R., Garreaud R.D., Ralph F.M.;;;Agua y Extremos;1.0;282.0;Impacts of Atmospheric Rivers on Precipitation in Southern South America;Journal of Hydrometeorology;Vol.19 is.10;1671-1687;2018;2.0;1;1.0;0.0;0.0;0.0;1.0;0.0;0.0;27;48;0.0;0.0;0.0;25;Otro autor;Journal of Hydrometeorology;1525-755X;J HYDROMETEOROL;Meteorology & Atmospheric Sciences;14/86;16,28%;0;3,79;4,332;Q1;Impacts of Atmospheric Rivers on Precipitation in Southern South America;10.1175/JHM-D-18-0006.1;10.1175/JHM-D-18-0006.1;Impacts of Atmospheric Rivers on Precipitation in Southern South America;;0;0;0;0;0;0;0;0;0;;;;;10.1175/JHM-D-18-0006.1;{United States, Argentina, Chile};"{Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT-CONICET, Mendoza, Argentina; Departamento de Geofísica, Universidad de Chile, Santiago, Chile; Centro del Clima y la Resiliencia, Universidad de Chile, Santiago, Chile; Center for Western Weather and Water Extremes, Scripps Institution of Oceanography, University of California, San Diego, La Jolla, CA, United States}";Impacts of atmospheric rivers on precipitation in Southern South America;TRUE;1;0;2;2;;
283.0;2018;si;Zonas Costeras;Costas;2018;Wilson,ST.,Bange ,H.W, Arévalo-Martínez,D.L. ,Barnes, J, Borges, A.V, Brown, I, Bullister,JohnL, Burgos,M, Capelle,D.W., Casso, M, De la Paz, M,  Farías, L, Fenwick,L, Ferrón,S,Garcia, G, Glockzin, M, Karl, D.M,  Kock,A, Laperriere,S,  Law, C.S, Manning,C.C, Marriner,A,  Myllykangas,J-P., Pohlman,J.W., Rees, A.P, Santoro,A.E, Torres, M, Tortell, PD, Upstill-Goddard,R.C,.Wisegarver, D.P, Zhang,G.L, Rehder, G. ;Wilson,ST.,Bange ,H.W, Arévalo-Martínez,D.L. ,Barnes, J, Borges, A.V, Brown, I, Bullister,JohnL, Burgos,M, Capelle,D.W., Casso, M, De la Paz, M,  Farías, L, Fenwick,L, Ferrón,S,Garcia, G, Glockzin, M, Karl, D.M,  Kock,A, Laperriere,S,  Law, C.S, Manning,C.C, Marriner,A,  Myllykangas,J-P., Pohlman,J.W., Rees, A.P, Santoro,A.E, Torres, M, Tortell, PD, Upstill-Goddard,R.C,.Wisegarver, D.P, Zhang,G.L, Rehder, G. ;;;Zonas Costeras;1.0;283.0;An intercomparison of oceanic methane and nitrous oxide measurements;Biogeosciences;Vol.15 is.19;5891-5907;2019;1.0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;30;70;0.0;0.0;0.0;0;-;Biogeosciences;1726-4170;BIOGEOSCIENCES;Geosciences, Multidisciplinary;20/188;10,64%;0;3,851;4,618;Q1;An intercomparison of oceanic methane and nitrous oxide measurements;10.5194/bg-15-5891-2018;10.5194/bg-15-5891-2018;An intercomparison of oceanic methane and nitrous oxide measurements;;0;0;0;0;0;0;0;0;0;;;;;10.5194/bg-15-5891-2018;{Canada, United Kingdom, Finland, United States, Germany, Chile, Belgium, China, New Zealand, Spain};"{University of Hawai'i at Manoa, Daniel K. Inouye Center for Microbial Oceanography: Research and Education (C-MORE), Honolulu, HI, United States; GEOMAR Helmholtz Centre for Ocean Research Kiel, Düsternbrooker Weg 20, Kiel, 24105, Germany; Newcastle University, School of Natural and Environmental Sciences, Newcastle upon Tyne, United Kingdom; Université de Liège, Unité d'Océanographie Chimique, Liège, Belgium; Plymouth Marine Laboratory, Plymouth, United Kingdom; National Oceanic and Atmospheric Administration, Pacific Marine Environmental Laboratory, Seattle, WA, United States; Universidad de Cádiz, Instituto de Investigaciones Marinas, Departmento Química-Física, Cádiz, Spain; University of British Columbia, Department of Earth, Ocean and Atmospheric Sciences, Vancouver, BC, Canada; U.S. Geological Survey, Woods Hole Coastal and Marine Science Center, Woods Hole, United States; Instituto de Investigaciones Marinas, Vigo, Spain; University of Concepción, Department of Oceanography, Center for Climate Research and Resilience (CR2), Concepción, Chile; Leibniz Institute for Baltic Sea Research Warnemünde, Rostock, Germany; University of California Santa Barbara, Department of Ecology, Evolution, and Marine Biology, Santa Barbara, United States; National Institute of Water and Atmospheric Research (NIWA), Wellington, New Zealand; Department of Chemistry, University of Otago, Dunedin, New Zealand; University of Helsinki, Department of Environmental Sciences, Helsinki, Finland; University of China, Key Laboratory of Marine Chemistry Theory and Technology (MOE), Qingdao, China; Instituto Español de Oceanografía, Centro Oceanográfico de A Coruña, A Coruña, Spain}";An intercomparison of oceanic methane and nitrous oxide measurements;TRUE;1;1;2;1;;
284.0;2018;si;Transversal;Transversal;2018;Xoplaki, E., Luterbacher, J., Wagner, S., Zorita, E., Fleitmann, D., Preiser-Kapeller, J., Sargent, A. M., White, S., Toreti, A., Haldon, J. F., Mordechai, L., Bozkurt, D., Akçer-Ön, S., Izdebski, A.;Xoplaki, E., Luterbacher, J., Wagner, S., Zorita, E., Fleitmann, D., Preiser-Kapeller, J., Sargent, A. M., White, S., Toreti, A., Haldon, J. F., Mordechai, L., Bozkurt, D., Akçer-Ön, S., Izdebski, A.;;;Transversal;1.0;284.0;Modelling Climate and Societal Resilience in the Eastern Mediterranean in the Last Millennium;Human Ecology;Vol.46 is.3;363-379;2018;1.0;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7;0;0.0;0.0;0.0;93;Otros autores;Human Ecology;0300-7839;HUM ECOL;Sociology;43/146;29,45%;0;1,642;2,188;Q2;Modelling Climate and Societal Resilience in the Eastern Mediterranean in the Last Millennium;10.1007/s10745-018-9995-9;10.1007/s10745-018-9995-9;Modelling Climate and Societal Resilience in the Eastern Mediterranean in the Last Millennium;;1;1;0;0;0;0;0;0;1;;;;;10.1007/s10745-018-9995-9;{Turkey, United States, Italy, Poland, United Kingdom, Austria, Germany, Chile};"{Climatology, Climate Dynamics and Climate Change, Department of Geography, Justus-Liebig-University Giessen, Giessen, Germany; Centre of International Development and Environmental Research, Justus-Liebig-University Giessen, Giessen, Germany; Institute for Coastal Research, Helmholtz-Zentrum Geesthacht, Geesthacht, Germany; Department of Archaeology and Centre for Past Climate Change, School of Human and Environmental Sciences, University of Reading, Reading, United Kingdom; Institute for Medieval Research/Division of Byzantine Research, Austrian Academy of Sciences, Vienna, Austria; History Department, Princeton University, Princeton, NJ, United States; History Department, Ohio State University, Columbus, OH, United States; European Commission, Joint Research Centre, Ispra, Italy; Center for Climate and Resilience Research, Department of Geophysics, University of Chile, Santiago, Chile; Geological Engineering Department, Mugla Sitki Kocman University, Mugla, Turkey; Byzantine History Department, Institute of History, Jagiellonian University in Krakow, Krakow, Poland; School of Historical Studies, Institute for Advanced Study, Princeton, NJ, United States; Max Planck Institute for the Science of Human History, Jena, Germany}";Modelling Climate and Societal Resilience in the Eastern Mediterranean in the Last Millennium;TRUE;1;0;1;1;;
